20090105   143876.616769        0.014388 10000000.000000 10000000.000000       -0.000000
20090106   360265.841967        0.036027  1340972.834954 10000000.000000       -0.000000
20090107    52026.560964        0.005203  1079782.092398 10000000.000000       -0.000000
20090108  -191658.876238       -0.019166  1529903.791708 10000000.000000       -0.000000
20090109   288817.155992        0.028882  1420785.230032 10000000.000000       -0.000000
20090112   139542.166746        0.013954  1575542.566187 10000000.000000       -0.000000
20090113  -246495.548282       -0.024650  1461977.313293 10000000.000000       -0.000000
20090114   366100.991367        0.036610  1231967.904748 10000000.000000       -0.000000
20090115    79270.013325        0.007927  1261402.004016 10000000.000000       -0.000000
20090116    59215.676066        0.005922  1505597.149523 10000000.000000       -0.000000
20090119    14863.337505        0.001486  1428783.513768 10000000.000000       -0.000000
20090120   109546.826701        0.010955  1397161.279223 10000000.000000       -0.000000
20090121   -21101.298078       -0.002110  1424419.014594 10000000.000000       -0.000000
20090122   158946.704705        0.015895  1549132.243110 10000000.000000       -0.000000
20090123   -51047.615681       -0.005105  1480978.680962 10000000.000000       -0.000000
20090202   278964.945543        0.027896  1323329.319233 10000000.000000       -0.000000
20090203   271699.055091        0.027170  1152281.801243 10000000.000000       -0.000000
20090204   201820.479841        0.020182  1286985.805634 10000000.000000       -0.000000
20090205  -131077.097343       -0.013108  1192320.676872 10000000.000000       -0.000000
20090206   427871.610605        0.042787  1487052.469259 10000000.000000       -0.000000
20090209   305065.642658        0.030507  1212590.215932 10000000.000000       -0.000000
20090210   268197.359134        0.026820  1157695.674605 10000000.000000       -0.000000
20090211    -9245.788188       -0.000925  1285524.564458 10000000.000000       -0.000000
20090212   172352.839891        0.017235  1359858.524699 10000000.000000       -0.000000
20090213   355106.244400        0.035511  1258900.466913 10000000.000000       -0.000000
20090216   172057.299263        0.017206  1152656.912765 10000000.000000       -0.000000
20090217  -374423.257987       -0.037442  1059284.265908 10000000.000000       -0.000000
20090218  -362625.214446       -0.036263  1498260.064049 10000000.000000       -0.000000
20090219   243626.507405        0.024363  1410862.335479 10000000.000000       -0.000000
20090220   328951.924203        0.032895  1191901.692737 10000000.000000       -0.000000
20090223   337099.862588        0.033710  1191800.177181 10000000.000000       -0.000000
20090224  -431648.530789       -0.043165  1076989.651530 10000000.000000       -0.000000
20090225   144169.125675        0.014417  1348484.546692 10000000.000000       -0.000000
20090226  -648918.532006       -0.064892  1204295.147976 10000000.000000       -0.000000
20090227  -520590.092550       -0.052059  1281967.528470 10000000.000000       -0.000000
20090302   276195.041788        0.027620  1210193.964981 10000000.000000       -0.000000
20090303   112839.807924        0.011284  1304048.736162 10000000.000000       -0.000000
20090304   602436.045945        0.060244  1213566.075170 10000000.000000       -0.000000
20090305   115796.182615        0.011580  1062372.074716 10000000.000000       -0.000000
20090306   -70513.440181       -0.007051  1220560.039462 10000000.000000       -0.000000
20090309  -378783.689897       -0.037878  1559172.521060 10000000.000000       -0.000000
20090310   264379.940205        0.026438  1354132.001242 10000000.000000       -0.000000
20090311   -25193.840555       -0.002519  1343838.439785 10000000.000000       -0.000000
20090312    33458.528664        0.003346  1151893.351979 10000000.000000       -0.000000
20090313   -63550.403338       -0.006355  1232541.015613 10000000.000000       -0.000000
20090316   169048.070856        0.016905  1465642.449324 10000000.000000       -0.000000
20090317   363308.032069        0.036331  1596392.118983 10000000.000000       -0.000000
20090318   119540.121248        0.011954  1480237.455811 10000000.000000       -0.000000
20090319   226817.430388        0.022682  1517844.884592 10000000.000000       -0.000000
20090320   -23949.483804       -0.002395  1258585.685625 10000000.000000       -0.000000
20090323   179049.121154        0.017905  1769857.926806 10000000.000000       -0.000000
20090324    56777.408381        0.005678  1739888.939226 10000000.000000       -0.000000
20090325  -225592.977208       -0.022559  1568100.000598 10000000.000000       -0.000000
